import time: self [us] | cumulative | imported package
import time:       548 |       4627 |                                     charset_normalizer.cd
import time:       870 |       5496 |                                   charset_normalizer.api
import time:       445 |        445 |                                   charset_normalizer.legacy
import time:       430 |        430 |                                   charset_normalizer.version
import time:      1244 |       7614 |                                 charset_normalizer
import time:       872 |        872 |                                 requests.packages
import time:       755 |        755 |                                       certifi.core
import time:       865 |       1620 |                                     certifi
import time:       453 |       2072 |                                   requests.certs
import time:       469 |        469 |                                   requests.__version__
import time:       924 |        924 |                                   requests._internal_utils
import time:       624 |        624 |                                   requests.cookies
import time:       484 |        484 |                                   requests.structures
import time:       897 |       5468 |                                 requests.utils
import time:       638 |        638 |                                       requests.auth
import time:       748 |        748 |                                           stringprep
import time:       712 |       1459 |                                         encodings.idna
import time:       418 |        418 |                                         requests.hooks
import time:       623 |        623 |                                         requests.status_codes
import time:       652 |       3151 |                                       requests.models
import time:       501 |        501 |                                         urllib3.contrib
import time:       758 |        758 |                                         socks
import time:       629 |       1886 |                                       urllib3.contrib.socks
import time:       684 |       6358 |                                     requests.adapters
import time:       631 |       6989 |                                   requests.sessions
import time:       452 |       7441 |                                 requests.api
import time:      1282 |      83566 |                               requests
import time:      1081 |       1081 |                               huggingface_hub
import time:       698 |        698 |                                   tqdm._monitor
import time:       394 |        394 |                                   tqdm._tqdm_pandas
import time:       666 |        666 |                                               colorama.ansi
import time:       623 |        623 |                                                 colorama.win32
import time:       549 |       1171 |                                               colorama.winterm
import time:       667 |       2504 |                                             colorama.ansitowin32
import time:       610 |       3114 |                                           colorama.initialise
import time:       876 |       3989 |                                         colorama
import time:       701 |       4690 |                                       tqdm.utils
import time:      1262 |       5951 |                                     tqdm.std
import time:       358 |        358 |                                       tqdm._dist_ver
import time:       458 |        816 |                                     tqdm.version
import time:       811 |       7577 |                                   tqdm.cli
import time:       496 |        496 |                                   tqdm.gui
import time:      1100 |      10265 |                                 tqdm
import time:       439 |        439 |                                 tqdm.autonotebook
import time:       508 |        508 |                                 tqdm.asyncio
import time:       486 |      11695 |                               tqdm.auto
import time:       577 |        577 |                                 tqdm.contrib
import time:       880 |       1456 |                               tqdm.contrib.concurrent
import time:       888 |        888 |                               huggingface_hub.constants
import time:       925 |        925 |                               huggingface_hub.errors
import time:       760 |        760 |                                     huggingface_hub.utils.tqdm
import time:     27723 |      27723 |                                       huggingface_hub.utils._runtime
import time:       509 |      28232 |                                     huggingface_hub.utils._auth
import time:       472 |        472 |                                     huggingface_hub.utils._cache_assets
import time:       497 |        497 |                                         huggingface_hub.commands
import time:       704 |       1200 |                                       huggingface_hub.commands._cli_utils
import time:       418 |        418 |                                       huggingface_hub.utils.logging
import time:      3375 |       4992 |                                     huggingface_hub.utils._cache_manager
import time:       486 |        486 |                                     huggingface_hub.utils._chunk_utils
import time:       405 |        405 |                                     huggingface_hub.utils._datetime
import time:       411 |        411 |                                     huggingface_hub.utils._experimental
import time:       664 |        664 |                                           filelock._error
import time:      1127 |       1790 |                                         filelock._api
import time:       537 |        537 |                                           filelock._util
import time:       456 |        992 |                                         filelock._soft
import time:       470 |        470 |                                         filelock._unix
import time:       496 |        496 |                                         filelock._windows
import time:      1019 |       1019 |                                         filelock.asyncio
import time:       410 |        410 |                                         filelock.version
import time:       916 |       6092 |                                       filelock
import time:       476 |       6568 |                                     huggingface_hub.utils._fixes
import time:       470 |        470 |                                       huggingface_hub.utils._subprocess
import time:       587 |       1056 |                                     huggingface_hub.utils._git_credential
import time:       491 |        491 |                                       huggingface_hub.utils._deprecation
import time:       424 |        424 |                                         huggingface_hub.utils._typing
import time:       556 |        979 |                                       huggingface_hub.utils._validators
import time:       574 |       2043 |                                     huggingface_hub.utils._headers
import time:       542 |        542 |                                     huggingface_hub.utils._hf_folder
import time:       720 |        720 |                                       shlex
import time:       442 |        442 |                                       huggingface_hub.utils._lfs
import time:       896 |       2057 |                                     huggingface_hub.utils._http
import time:       382 |        382 |                                     huggingface_hub.utils._pagination
import time:       495 |        495 |                                     huggingface_hub.utils._paths
import time:      1302 |       1302 |                                     huggingface_hub.utils._safetensors
import time:       516 |        516 |                                     huggingface_hub.utils._telemetry
import time:      1617 |       1617 |                                     huggingface_hub.utils._xet
import time:       810 |      53140 |                                   huggingface_hub.utils
import time:      2011 |      55150 |                                 huggingface_hub._local_folder
import time:       385 |        385 |                                   huggingface_hub.utils.insecure_hashlib
import time:       466 |        851 |                                 huggingface_hub.utils.sha
import time:      1637 |      57637 |                               huggingface_hub.file_download
import time:      1077 |       1077 |                                   huggingface_hub.lfs
import time:      2023 |       3100 |                                 huggingface_hub._commit_api
import time:      1145 |       1145 |                                 huggingface_hub._inference_endpoints
import time:      1332 |       1332 |                                   huggingface_hub._space_api
import time:      3045 |       4377 |                                 huggingface_hub._jobs_api
import time:       929 |        929 |                                 huggingface_hub._upload_large_folder
import time:      2932 |       2932 |                                 huggingface_hub.community
import time:      1982 |       1982 |                                 huggingface_hub.repocard_data
import time:       562 |        562 |                                 huggingface_hub.utils.endpoint_helpers
import time:     13639 |      28663 |                               huggingface_hub.hf_api
import time:       695 |        695 |                                 loguru._defaults
import time:       542 |        542 |                                   loguru._asyncio_loop
import time:       429 |        429 |                                   loguru._colorama
import time:       377 |        377 |                                   loguru._filters
import time:       818 |        818 |                                   loguru._better_exceptions
import time:       861 |        861 |                                   loguru._colorizer
import time:       424 |        424 |                                   loguru._contextvars
import time:       709 |        709 |                                   loguru._datetime
import time:       449 |        449 |                                   loguru._error_interceptor
import time:       470 |        470 |                                     loguru._string_parsers
import time:       802 |        802 |                                         win32_setctime._setctime
import time:      1037 |       1838 |                                       win32_setctime
import time:       441 |       2279 |                                     loguru._ctime_functions
import time:       672 |       3420 |                                   loguru._file_sink
import time:       489 |        489 |                                   loguru._get_frame
import time:       434 |        434 |                                     loguru._locks_machinery
import time:       540 |        973 |                                   loguru._handler
import time:       524 |        524 |                                   loguru._recattrs
import time:       499 |        499 |                                   loguru._simple_sinks
import time:      1318 |      11827 |                                 loguru._logger
import time:      1758 |      14278 |                               loguru
import time:      1912 |     202096 |                             fastembed.common.model_management
import time:       528 |     205960 |                           fastembed.image.image_embedding_base
import time:       829 |        829 |                                   onnxruntime.capi
import time:       466 |        466 |                                   onnxruntime.capi._ld_preload
import time:       592 |        592 |                                   onnxruntime.capi.version_info
import time:     37836 |      37836 |                                   onnxruntime.capi.onnxruntime_pybind11_state
import time:     44229 |      83950 |                                 onnxruntime.capi._pybind_state
import time:       518 |        518 |                                 onnxruntime.capi.onnxruntime_validation
import time:       853 |        853 |                                 onnxruntime.capi.onnxruntime_inference_collection
import time:       123 |        123 |                                 onnxruntime.experimental
import time:       372 |        372 |                                 onnxruntime.capi.build_and_package_info
import time:      1069 |      86883 |                               onnxruntime
import time:      1589 |       1589 |                                 tokenizers.tokenizers
import time:       568 |        568 |                                     tokenizers.decoders
import time:       853 |        853 |                                     tokenizers.models
import time:       661 |        661 |                                     tokenizers.normalizers
import time:       556 |        556 |                                     tokenizers.pre_tokenizers
import time:       523 |        523 |                                     tokenizers.processors
import time:      1318 |       4477 |                                   tokenizers.implementations.base_tokenizer
import time:       821 |        821 |                                   tokenizers.implementations.bert_wordpiece
import time:       617 |        617 |                                   tokenizers.implementations.byte_level_bpe
import time:       498 |        498 |                                   tokenizers.implementations.char_level_bpe
import time:       465 |        465 |                                   tokenizers.implementations.sentencepiece_bpe
import time:       583 |        583 |                                   tokenizers.implementations.sentencepiece_unigram
import time:       657 |       8115 |                                 tokenizers.implementations
import time:      1291 |      10995 |                               tokenizers
import time:       516 |        516 |                                     multiprocessing.util
import time:       630 |       1145 |                                   multiprocessing.heap
import time:       701 |       1846 |                                 multiprocessing.sharedctypes
import time:       646 |       2492 |                               fastembed.parallel_processor
import time:      1153 |     101522 |                             fastembed.common.onnx_model
import time:       617 |        617 |                             fastembed.common.utils
import time:       490 |        490 |                                 fastembed.image.transform
import time:       545 |        545 |                                 fastembed.image.transform.functional
import time:       845 |       1879 |                               fastembed.image.transform.operators
import time:       486 |        486 |                               fastembed.common.preprocessor_utils
import time:       756 |       3120 |                             fastembed.image.onnx_image_model
import time:       763 |     106020 |                           fastembed.image.onnx_embedding
import time:       678 |     331999 |                         fastembed.image.image_embedding
import time:       655 |     332653 |                       fastembed.image
import time:       476 |        476 |                             fastembed.late_interaction.late_interaction_embedding_base
import time:       847 |        847 |                                       fastembed.text.onnx_text_model
import time:       468 |        468 |                                       fastembed.text.text_embedding_base
import time:       729 |       2043 |                                     fastembed.text.onnx_embedding
import time:       519 |       2561 |                                   fastembed.text.clip_embedding
import time:      1066 |       1066 |                                   fastembed.text.custom_text_embedding
import time:       596 |        596 |                                     fastembed.text.pooled_embedding
import time:       529 |       1124 |                                   fastembed.text.pooled_normalized_embedding
import time:       867 |        867 |                                   fastembed.text.multitask_embedding
import time:       887 |       6504 |                                 fastembed.text.text_embedding
import time:       567 |       7070 |                               fastembed.text
import time:        24 |       7093 |                             fastembed.text.onnx_text_model
import time:       649 |       8218 |                           fastembed.late_interaction.colbert
import time:       508 |        508 |                           fastembed.late_interaction.jina_colbert
import time:       707 |       9432 |                         fastembed.late_interaction.late_interaction_text_embedding
import time:       545 |       9977 |                       fastembed.late_interaction
import time:       437 |        437 |                             fastembed.late_interaction_multimodal.late_interaction_multimodal_embedding_base
import time:       550 |        550 |                             fastembed.late_interaction_multimodal.onnx_multimodal_model
import time:       705 |       1691 |                           fastembed.late_interaction_multimodal.colpali
import time:       652 |       2343 |                         fastembed.late_interaction_multimodal.late_interaction_multimodal_embedding
import time:       543 |       2886 |                       fastembed.late_interaction_multimodal
import time:      1008 |       1008 |                         fastembed.sparse.sparse_embedding_base
import time:      1614 |       1614 |                             mmh3
import time:       873 |        873 |                               py_rust_stemmers.py_rust_stemmers
import time:       877 |       1750 |                             py_rust_stemmers
import time:       492 |        492 |                               fastembed.sparse.utils
import time:      2078 |       2569 |                             fastembed.sparse.utils.tokenizer
import time:       912 |       6844 |                           fastembed.sparse.bm25
import time:       750 |        750 |                           fastembed.sparse.bm42
import time:      2683 |       2683 |                             fastembed.sparse.utils.minicoil_encoder
import time:       912 |        912 |                             fastembed.sparse.utils.sparse_vectors_converter
import time:       481 |        481 |                             fastembed.sparse.utils.vocab_resolver
import time:       658 |       4732 |                           fastembed.sparse.minicoil
import time:       600 |        600 |                           fastembed.sparse.splade_pp
import time:       608 |      13532 |                         fastembed.sparse.sparse_text_embedding
import time:       559 |      15098 |                       fastembed.sparse
import time:      2154 |     362766 |                     fastembed
import time:      1489 |     364255 |                   qdrant_client.fastembed_common
import time:      1095 |     365829 |                 qdrant_client.embed.embedder
import time:       459 |        459 |                   qdrant_client.embed.builtin_embedder
import time:       445 |        445 |                   qdrant_client.embed.embed_inspector
import time:       598 |        598 |                   qdrant_client.parallel_processor
import time:       495 |        495 |                     qdrant_client.uploader
import time:      1030 |       1524 |                   qdrant_client.uploader.uploader
import time:       723 |       3747 |                 qdrant_client.embed.model_embedder
import time:       899 |     370474 |               qdrant_client.async_qdrant_fastembed
import time:       912 |        912 |                   qdrant_client.auth.bearer_auth
import time:       526 |       1437 |                 qdrant_client.auth
import time:       522 |        522 |                 qdrant_client.common.version_check
import time:       746 |        746 |                 qdrant_client.connection
import time:       546 |        546 |                   qdrant_client.models
import time:       648 |       1194 |                 qdrant_client.uploader.grpc_uploader
import time:       629 |        629 |                 qdrant_client.uploader.rest_uploader
import time:      1660 |       6185 |               qdrant_client.async_qdrant_remote
import time:      1315 |     812628 |             qdrant_client.async_qdrant_client
import time:       554 |        554 |               qdrant_client.client_base
import time:       978 |        978 |               qdrant_client.local.qdrant_local
import time:       655 |        655 |                 qdrant_client.migrate.migrate
import time:       517 |       1172 |               qdrant_client.migrate
import time:       612 |        612 |               qdrant_client.qdrant_fastembed
import time:      1106 |       1106 |               qdrant_client.qdrant_remote
import time:      1038 |       5458 |             qdrant_client.qdrant_client
import time:      1163 |     819248 |           qdrant_client
import time:       721 |        721 |               vector_inspector.core.connections.qdrant_helpers.qdrant_filter_builder
import time:      1403 |       1403 |                   vector_inspector.core.model_registry
2026-01-30 18:42:59,404 INFO vector_inspector: Loaded 47 models from registry
import time:      1123 |       2525 |                 vector_inspector.core.embedding_utils
import time:       412 |       2937 |               vector_inspector.core.connections.qdrant_helpers.qdrant_embedding_resolver
import time:       607 |       4264 |             vector_inspector.core.connections.qdrant_helpers
import time:        16 |       4280 |           vector_inspector.core.connections.qdrant_helpers.qdrant_filter_builder
import time:       715 |     824242 |         vector_inspector.core.connections.qdrant_connection
import time:       744 |        744 |             pinecone.deprecated_plugins
import time:       410 |        410 |             pinecone.deprecation_warnings
import time:       727 |        727 |                     pinecone.exceptions.exceptions
import time:       468 |       1194 |                   pinecone.exceptions
import time:       539 |        539 |                     pinecone.config.openapi_configuration
import time:       419 |        957 |                   pinecone.config.openapi_config_factory
import time:       874 |       3024 |                 pinecone.config.config
import time:       443 |        443 |                 pinecone.config.pinecone_config
import time:       555 |       4021 |               pinecone.config
import time:       742 |        742 |                 pinecone.utils.check_kwargs
import time:       598 |        598 |                 pinecone.utils.version
import time:       389 |        389 |                   pinecone.utils.constants
import time:       406 |        794 |                 pinecone.utils.user_agent
import time:       368 |        368 |                 pinecone.utils.deprecation_notice
import time:       328 |        328 |                 pinecone.utils.fix_tuple_length
import time:       367 |        367 |                 pinecone.utils.convert_to_list
import time:       392 |        392 |                 pinecone.utils.convert_enum_to_string
import time:       371 |        371 |                 pinecone.utils.normalize_host
import time:       365 |        365 |                 pinecone.utils.setup_openapi_client
import time:       365 |        365 |                 pinecone.utils.parse_args
import time:       397 |        397 |                 pinecone.utils.docslinks
import time:       441 |        441 |                 pinecone.utils.repr_overrides
import time:       718 |        718 |                 pinecone.utils.error_handling
import time:       772 |        772 |                     pinecone_plugin_interface.pinecone_plugin
import time:       867 |        867 |                     pinecone_plugin_interface.plugin_metadata
import time:       387 |        387 |                         pinecone_plugin_interface.actions.constants
import time:       410 |        410 |                         pinecone_plugin_interface.logging
import time:       628 |       1424 |                       pinecone_plugin_interface.actions.discover_plugins
import time:       434 |        434 |                       pinecone_plugin_interface.actions.discover_namespace_packages
import time:       646 |        646 |                       pinecone_plugin_interface.actions.installation
import time:       430 |        430 |                       pinecone_plugin_interface.actions.load_and_install
import time:       630 |       3562 |                     pinecone_plugin_interface.actions
import time:      1202 |       6402 |                   pinecone_plugin_interface
import time:       540 |       6941 |                 pinecone.utils.plugin_aware
import time:       427 |        427 |                 pinecone.utils.filter_dict
import time:       389 |        389 |                 pinecone.utils.require_kwargs
import time:       442 |        442 |                 pinecone.utils.response_info
import time:       774 |      15213 |               pinecone.utils
import time:       377 |        377 |               pinecone.langchain_import_warnings
import time:       640 |      20250 |             pinecone.pinecone
import time:       505 |        505 |               pinecone.pinecone_interface_asyncio
import time:       560 |       1064 |             pinecone.pinecone_asyncio
import time:       405 |        405 |                         pinecone.openapi_support.exceptions
import time:       464 |        869 |                       pinecone.openapi_support.rest_utils
import time:       426 |        426 |                       pinecone.openapi_support.retry_urllib3
import time:       603 |       1897 |                     pinecone.openapi_support.rest_urllib3
import time:       773 |        773 |                         pinecone.openapi_support.model_utils
import time:       458 |       1230 |                       pinecone.openapi_support.serializer
import time:       568 |       1798 |                     pinecone.openapi_support.api_client_utils
import time:       408 |        408 |                     pinecone.openapi_support.auth_util
import time:      1095 |       5197 |                   pinecone.openapi_support.api_client
import time:       473 |        473 |                       pinecone.openapi_support.types
import time:       722 |       1194 |                     pinecone.openapi_support.endpoint_utils
import time:       437 |       1631 |                   pinecone.openapi_support.endpoint
import time:       498 |        498 |                     pinecone.openapi_support.rest_aiohttp
import time:       510 |        510 |                     pinecone.openapi_support.deserializer
import time:       654 |       1662 |                   pinecone.openapi_support.asyncio_api_client
import time:       419 |        419 |                   pinecone.openapi_support.asyncio_endpoint
import time:       404 |        404 |                   pinecone.openapi_support.configuration_lazy
import time:       405 |        405 |                   pinecone.openapi_support.constants
import time:       564 |        564 |                       dateutil._version
import time:       869 |       1433 |                     dateutil
import time:      1706 |       1706 |                       six
import time:       410 |        410 |                       dateutil._common
import time:        35 |         35 |                         six.moves
import time:       495 |        495 |                         dateutil.tz._common
import time:       449 |        449 |                         dateutil.tz._factories
import time:       538 |        538 |                         dateutil.tz.win
import time:      1070 |       2585 |                       dateutil.tz.tz
import time:      2200 |       6899 |                     dateutil.parser._parser
import time:       790 |        790 |                     dateutil.parser.isoparser
import time:       633 |       9753 |                   dateutil.parser
import time:       599 |        599 |                   pinecone.openapi_support.cached_class_property
import time:       637 |      20703 |                 pinecone.openapi_support
import time:       485 |        485 |                     pinecone.core
import time:       730 |       1215 |                   pinecone.core.openapi
import time:       713 |       1927 |                 pinecone.core.openapi.oauth
import time:       461 |        461 |                     pinecone.core.openapi.oauth.api
import time:      1008 |       1008 |                         _multiprocessing
import time:       761 |       1768 |                       multiprocessing.connection
import time:      1006 |       2773 |                     multiprocessing.pool
import time:       604 |        604 |                       pinecone.core.openapi.oauth.model
import time:       849 |       1453 |                     pinecone.core.openapi.oauth.model.error_response
import time:       527 |        527 |                     pinecone.core.openapi.oauth.model.token_request
import time:       490 |        490 |                     pinecone.core.openapi.oauth.model.token_response
import time:      1016 |       6718 |                   pinecone.core.openapi.oauth.api.o_auth_api
import time:       708 |       7426 |                 pinecone.core.openapi.oauth.apis
import time:       527 |        527 |                 pinecone.core.openapi.oauth.models
import time:       658 |      31239 |               pinecone.admin.admin
import time:       474 |      31713 |             pinecone.admin
import time:       447 |        447 |             pinecone.utils.lazy_imports
import time:      1081 |       1081 |               pinecone_plugins
import time:       380 |       1461 |             pinecone_plugins.inference
import time:       173 |        173 |             pinecone_plugins.records
import time:      1152 |      57409 |           pinecone
import time:       940 |        940 |             pinecone.db_control.enums.clouds
import time:       539 |        539 |             pinecone.db_control.enums.deletion_protection
import time:       425 |        425 |             pinecone.db_control.enums.metric
import time:       538 |        538 |             pinecone.db_control.enums.pod_index_environment
import time:       512 |        512 |             pinecone.db_control.enums.pod_type
import time:       413 |        413 |             pinecone.db_control.enums.vector_type
import time:       805 |       4170 |           pinecone.db_control.enums
import time:      1087 |       1087 |             pinecone.db_control.models.index_description
import time:       586 |        586 |             pinecone.db_control.models.collection_description
import time:      1364 |       1364 |             pinecone.db_control.models.serverless_spec
import time:      1007 |       1007 |             pinecone.db_control.models.pod_spec
import time:       774 |        774 |             pinecone.db_control.models.byoc_spec
import time:       515 |        515 |                   pinecone.core.openapi.db_control
import time:       709 |       1224 |                 pinecone.core.openapi.db_control.model
import time:       948 |       2172 |               pinecone.core.openapi.db_control.model.index_list
import time:       604 |        604 |                 pinecone.core.openapi.db_control.model.index_model
import time:       508 |        508 |                 pinecone.core.openapi.db_control.model.index_spec
import time:       499 |        499 |                 pinecone.core.openapi.db_control.model.serverless
import time:       514 |        514 |                 pinecone.core.openapi.db_control.model.serverless_spec_response
import time:       499 |        499 |                 pinecone.core.openapi.db_control.model.read_capacity_response
import time:       504 |        504 |                 pinecone.core.openapi.db_control.model.read_capacity_on_demand_spec_response
import time:       509 |        509 |                 pinecone.core.openapi.db_control.model.read_capacity_dedicated_spec_response
import time:       535 |        535 |                 pinecone.core.openapi.db_control.model.pod_based
import time:       636 |        636 |                 pinecone.core.openapi.db_control.model.pod_spec
import time:       987 |        987 |                 pinecone.core.openapi.db_control.model.byoc
import time:       684 |        684 |                 pinecone.core.openapi.db_control.model.byoc_spec
import time:       632 |       7106 |               pinecone.db_control.models.index_model
import time:       433 |       9710 |             pinecone.db_control.models.index_list
import time:       516 |        516 |               pinecone.core.openapi.db_control.model.collection_list
import time:       451 |        967 |             pinecone.db_control.models.collection_list
import time:       572 |        572 |                       pinecone.core.openapi.inference
import time:       464 |        464 |                         pinecone.core.openapi.inference.model
import time:       722 |       1186 |                       pinecone.core.openapi.inference.model.dense_embedding
import time:       746 |        746 |                       pinecone.core.openapi.inference.model.document
import time:       550 |        550 |                       pinecone.core.openapi.inference.model.embed_request
import time:       527 |        527 |                       pinecone.core.openapi.inference.model.embed_request_inputs
import time:       514 |        514 |                       pinecone.core.openapi.inference.model.embedding
import time:       500 |        500 |                       pinecone.core.openapi.inference.model.embeddings_list
import time:       628 |        628 |                       pinecone.core.openapi.inference.model.embeddings_list_usage
import time:       546 |        546 |                       pinecone.core.openapi.inference.model.error_response
import time:       678 |        678 |                       pinecone.core.openapi.inference.model.error_response_error
import time:       629 |        629 |                       pinecone.core.openapi.inference.model.model_info
import time:       518 |        518 |                       pinecone.core.openapi.inference.model.model_info_list
import time:       673 |        673 |                       pinecone.core.openapi.inference.model.model_info_supported_metrics
import time:       619 |        619 |                       pinecone.core.openapi.inference.model.model_info_supported_parameter
import time:       523 |        523 |                       pinecone.core.openapi.inference.model.ranked_document
import time:       605 |        605 |                       pinecone.core.openapi.inference.model.rerank_request
import time:       570 |        570 |                       pinecone.core.openapi.inference.model.rerank_result
import time:       527 |        527 |                       pinecone.core.openapi.inference.model.rerank_result_usage
import time:       498 |        498 |                       pinecone.core.openapi.inference.model.sparse_embedding
import time:       963 |      12562 |                     pinecone.core.openapi.inference.models
import time:       687 |      13248 |                   pinecone.inference.repl_overrides
import time:       471 |        471 |                         pinecone.core.openapi.inference.api
import time:       752 |       1222 |                       pinecone.core.openapi.inference.api.inference_api
import time:       518 |       1740 |                     pinecone.core.openapi.inference.apis
import time:       670 |        670 |                       pinecone.inference.models.embedding_list
import time:       414 |        414 |                       pinecone.inference.models.rerank_result
import time:       417 |        417 |                       pinecone.inference.models.model_info
import time:       432 |        432 |                       pinecone.inference.models.model_info_list
import time:       682 |       2613 |                     pinecone.inference.models
import time:       812 |        812 |                     pinecone.inference.inference_request_builder
import time:       566 |       5729 |                   pinecone.inference.inference
import time:       521 |        521 |                   pinecone.inference.inference_asyncio
import time:       573 |      20069 |                 pinecone.inference
import time:        14 |      20083 |               pinecone.inference.models
import time:      1037 |      21120 |             pinecone.inference.models.index_embed
import time:       559 |        559 |               pinecone.core.openapi.db_control.model.backup_model
import time:       486 |       1045 |             pinecone.db_control.models.backup_model
import time:       599 |        599 |               pinecone.core.openapi.db_control.model.backup_list
import time:       534 |       1133 |             pinecone.db_control.models.backup_list
import time:       552 |        552 |               pinecone.core.openapi.db_control.model.restore_job_model
import time:       440 |        992 |             pinecone.db_control.models.restore_job_model
import time:       510 |        510 |               pinecone.core.openapi.db_control.model.restore_job_list
import time:       449 |        958 |             pinecone.db_control.models.restore_job_list
import time:       769 |      41506 |           pinecone.db_control.models
import time:       647 |        647 |             pinecone.db_control.types.create_index_for_model_embed
import time:       397 |        397 |             pinecone.db_control.types.configure_index_embed
import time:       540 |       1583 |           pinecone.db_control.types
import time:       661 |        661 |               pinecone.core.openapi.db_control.api
import time:       732 |        732 |               pinecone.core.openapi.db_control.model.collection_model
import time:       576 |        576 |               pinecone.core.openapi.db_control.model.configure_index_request
import time:       557 |        557 |               pinecone.core.openapi.db_control.model.create_backup_request
import time:       500 |        500 |               pinecone.core.openapi.db_control.model.create_collection_request
import time:       528 |        528 |               pinecone.core.openapi.db_control.model.create_index_for_model_request
import time:       500 |        500 |               pinecone.core.openapi.db_control.model.create_index_from_backup_request
import time:       490 |        490 |               pinecone.core.openapi.db_control.model.create_index_from_backup_response
import time:       506 |        506 |               pinecone.core.openapi.db_control.model.create_index_request
import time:       571 |        571 |               pinecone.core.openapi.db_control.model.error_response
import time:       985 |       6601 |             pinecone.core.openapi.db_control.api.manage_indexes_api
import time:       461 |       7062 |           pinecone.db_control.db_control
import time:       473 |        473 |           pinecone.db_control.db_control_asyncio
import time:       388 |        388 |           pinecone.db_control.repr_overrides
import time:      1379 |     113967 |         vector_inspector.core.connections.pinecone_connection
import time:       587 |    1834412 |       vector_inspector.core.connections
import time:        18 |    1834429 |     vector_inspector.core.connections.base_connection
import time:      1225 |    1838273 |   vector_inspector.core.connection_manager
import time:       532 |        532 |     vector_inspector.services
import time:       432 |        432 |     vector_inspector.services.credential_service
import time:       872 |       1834 |   vector_inspector.services.profile_service
import time:      1237 |       1237 |     vector_inspector.core.cache_manager
import time:       526 |       1762 |   vector_inspector.services.settings_service
import time:      1268 |       1268 |   vector_inspector.ui.main_window_shell
import time:       505 |        505 |     vector_inspector.ui.components
import time:      4225 |       4729 |   vector_inspector.ui.components.connection_manager_panel
import time:      2701 |       2701 |   vector_inspector.ui.components.profile_manager_panel
import time:       590 |        590 |   vector_inspector.ui.tabs
import time:       548 |        548 |     vector_inspector.ui.controllers
import time:       623 |        623 |             psycopg2.errors
import time:      6618 |       7241 |           psycopg2._psycopg
import time:       514 |        514 |             psycopg2._json
import time:      1006 |       1006 |             psycopg2._range
import time:       677 |       2195 |           psycopg2.extensions
import time:      1102 |      10537 |         psycopg2
import time:       590 |        590 |         psycopg2.sql
import time:      2420 |      13546 |       vector_inspector.core.connections.pgvector_connection
import time:       506 |      14051 |     vector_inspector.core.provider_factory
import time:       493 |        493 |     vector_inspector.ui.components.loading_dialog
import time:       767 |      15857 |   vector_inspector.ui.controllers.connection_controller
import time:       566 |        566 |     vector_inspector.ui.services
import time:       637 |       1202 |   vector_inspector.ui.services.dialog_service
import time:     16105 |    1886175 | vector_inspector.ui.main_window
import time:      1541 |       1541 |         jaraco
import time:       924 |       2465 |       jaraco.context
import time:       738 |        738 |             more_itertools.recipes
import time:      1465 |       2203 |           more_itertools.more
import time:       938 |       3141 |         more_itertools
import time:       731 |       3871 |       jaraco.functools
import time:     37811 |      37811 |       keyring.credentials
import time:       616 |        616 |       keyring.errors
import time:       512 |        512 |       keyring.util
import time:       544 |        544 |         jaraco.classes
import time:       742 |        742 |         jaraco.classes.properties
import time:       585 |       1870 |       keyring.compat
import time:       604 |        604 |       keyring.compat.py312
import time:       777 |      48523 |     keyring.backend
import time:       693 |        693 |     keyring.backends
import time:       684 |        684 |     keyring.backends.fail
import time:       562 |        562 |     keyring.util.platform_
import time:       848 |      51307 |   keyring.core
import time:      1181 |      52488 | keyring
import time:       855 |        855 |   vector_inspector.ui.views
import time:      1073 |       1927 | vector_inspector.ui.views.info_panel
import time:       828 |        828 |   vector_inspector.ui.components.item_dialog
import time:       614 |        614 |   vector_inspector.ui.components.filter_builder
import time:       105 |        105 |       _csv
import time:       807 |        911 |     csv
import time:       732 |        732 |         pytz.exceptions
import time:       561 |        561 |         pytz.lazy
import time:       513 |        513 |         pytz.tzinfo
import time:       431 |        431 |         pytz.tzfile
import time:      1528 |       3764 |       pytz
import time:       974 |        974 |         pandas.compat._constants
import time:       520 |        520 |         pandas.compat.compressors
import time:       500 |        500 |             pandas.util
import time:      2065 |       2565 |           pandas.util.version
import time:       744 |       3308 |         pandas.compat.numpy
import time:       873 |        873 |             pyarrow._generated_version
import time:       974 |        974 |               cloudpickle
import time:        49 |         49 |                 gc
import time:       533 |        581 |               pyarrow.util
import time:     11037 |      12591 |             pyarrow.lib
import time:       690 |        690 |             pyarrow.ipc
import time:       952 |        952 |             pyarrow.types
import time:      1600 |      16704 |           pyarrow
import time:       533 |      17236 |         pandas.compat.pyarrow
import time:      1020 |      23056 |       pandas.compat
