import time: self [us] | cumulative | imported package
import time:       718 |        718 |                             numpy._core.umath
import time:       813 |        813 |                               numbers
import time:       453 |        453 |                               numpy._core._string_helpers
import time:       561 |        561 |                               numpy._core._type_aliases
import time:       479 |        479 |                               numpy._core._dtype
import time:       589 |       2893 |                             numpy._core.numerictypes
import time:       653 |        653 |                                       _compat_pickle
import time:        97 |         97 |                                       _pickle
import time:      1405 |       2154 |                                     pickle
import time:       842 |       2995 |                                   numpy._core._methods
import time:      1227 |       4222 |                                 numpy._core.fromnumeric
import time:       594 |       4815 |                               numpy._core.shape_base
import time:       664 |        664 |                               numpy._core._ufunc_config
import time:       806 |        806 |                               numpy._core.arrayprint
import time:       449 |        449 |                               numpy._core._asarray
import time:      1018 |       7751 |                             numpy._core.numeric
import time:       667 |        667 |                             numpy._core.records
import time:       493 |        493 |                             numpy._core.memmap
import time:       505 |        505 |                             numpy._core.function_base
import time:       426 |        426 |                             numpy._core._machar
import time:       568 |        568 |                             numpy._core.getlimits
import time:       520 |        520 |                             numpy._core.einsumfunc
import time:      1445 |       1445 |                             numpy._core._add_newdocs
import time:       700 |        700 |                             numpy._core._add_newdocs_scalars
import time:       441 |        441 |                             numpy._core._dtype_ctypes
import time:      1683 |       1683 |                                 sysconfig
import time:      1147 |       1147 |                                 _ctypes
import time:       748 |        748 |                                 ctypes._endian
import time:      1384 |       4960 |                               ctypes
import time:       865 |       5824 |                             numpy._core._internal
import time:       463 |        463 |                             numpy._pytesttester
import time:      1120 |      35691 |                           numpy._core
import time:        41 |      35732 |                         numpy._core._multiarray_umath
import time:       560 |      36292 |                       numpy.__config__
import time:       471 |        471 |                           numpy.lib._array_utils_impl
import time:       747 |       1217 |                         numpy.lib.array_utils
import time:       396 |        396 |                         numpy.lib.introspect
import time:       432 |        432 |                         numpy.lib.mixins
import time:      1791 |       1791 |                                   _wmi
import time:      1131 |       2922 |                                 platform
import time:       493 |       3414 |                               numpy.lib._utils_impl
import time:       487 |       3901 |                             numpy.lib.format
import time:       646 |        646 |                             numpy.lib._datasource
import time:      2106 |       2106 |                             numpy.lib._iotools
import time:       887 |       7538 |                           numpy.lib._npyio_impl
import time:       412 |       7949 |                         numpy.lib.npyio
import time:       431 |        431 |                               numpy.lib._ufunclike_impl
import time:       561 |        992 |                             numpy.lib._type_check_impl
import time:       562 |       1554 |                           numpy.lib._scimath_impl
import time:       460 |       2014 |                         numpy.lib.scimath
import time:       482 |        482 |                           numpy.lib._stride_tricks_impl
import time:       554 |       1035 |                         numpy.lib.stride_tricks
import time:       590 |        590 |                                 numpy.linalg.linalg
import time:       621 |        621 |                                   numpy.lib._twodim_base_impl
import time:       734 |        734 |                                   numpy.linalg._umath_linalg
import time:       831 |        831 |                                     numpy._typing._nested_sequence
import time:       487 |        487 |                                     numpy._typing._nbit_base
import time:       451 |        451 |                                     numpy._typing._nbit
import time:      1900 |       1900 |                                     numpy._typing._char_codes
import time:       551 |        551 |                                     numpy._typing._scalars
import time:       406 |        406 |                                     numpy._typing._shape
import time:      2710 |       2710 |                                     numpy._typing._dtype_like
import time:      1905 |       1905 |                                     numpy._typing._array_like
import time:       415 |        415 |                                     numpy._typing._ufunc
import time:       867 |      10518 |                                   numpy._typing
import time:      1532 |      13404 |                                 numpy.linalg._linalg
import time:       654 |      14647 |                               numpy.linalg
import time:       831 |      15477 |                             numpy.matrixlib.defmatrix
import time:       537 |      16013 |                           numpy.matrixlib
import time:       822 |        822 |                             numpy.lib._histograms_impl
import time:      1505 |       2326 |                           numpy.lib._function_base_impl
import time:       774 |      19113 |                         numpy.lib._index_tricks_impl
import time:       782 |        782 |                         numpy.lib._nanfunctions_impl
import time:       705 |        705 |                         numpy.lib._shape_base_impl
import time:       924 |        924 |                         numpy.lib._arraysetops_impl
import time:       737 |        737 |                         numpy.lib._polynomial_impl
import time:       559 |        559 |                         numpy.lib._arrayterator_impl
import time:       531 |        531 |                         numpy.lib._arraypad_impl
import time:       512 |        512 |                         numpy.lib._version
import time:      1150 |      38050 |                       numpy.lib
import time:       725 |        725 |                       numpy._array_api_info
import time:      2356 |      81027 |                     numpy
import time:       741 |        741 |                     numpy._typing._add_docstring
import time:       644 |      82411 |                   numpy.typing
